CommentOwnerId,PostOwnerId,Weight
24,22,1
115,84,1
2723,84,1
21825,84,1
53,66,1
14,14,11
18481,14,1
146,84,3
84,84,10
1156,84,1
157,158,1
158,158,10
178,178,4
116,21,3
189,84,1
178,199,1
70,96,1
211,199,1
172,199,1
212,212,3
173,173,2
92,92,4
227,84,1
84,21,2
21,21,48
200,118,1
249,26,1
92,172,2
178,172,1
172,172,2
84,249,1
227,249,1
249,249,2
97,97,10
92,250,1
250,250,2
92,71,1
159,71,1
295,59,3
59,59,4
156,59,1
216,227,2
227,227,4
387,227,1
434,59,1
13023,59,1
403,434,1
158,514,1
514,514,3
534,534,2
609,609,9
456,743,1
62,434,3
434,434,5
791,791,1
97,735,1
735,735,1
84,158,1
386,386,3
471,151,1
554,178,1
381,890,1
890,890,1
322,890,1
910,890,7
890,172,1
122,122,8
241,241,2
84,241,3
426,21,1
113,21,1
3466,21,1
743,84,1
84,548,1
403,403,1
0,986,2
743,986,1
1237,994,1
953,994,1
84,1015,1
227,957,1
957,957,1
381,684,1
684,684,7
922,1021,1
1028,1011,1
1011,1011,1
84,108,1
609,684,2
846,515,1
515,515,1
289,289,2
418,289,1
471,1125,1
322,1125,1
289,322,1
322,322,3
322,609,3
1177,1165,1
1165,1165,1
1085,1085,4
1155,250,1
1155,917,1
4841,490,1
1196,1192,1
1192,1192,2
1155,1207,1
1207,1207,1
1207,1155,2
1155,1155,4
322,1208,1
984,1208,1
471,1208,1
322,941,1
474,474,2
17538,548,1
609,434,1
471,434,1
322,684,1
2507,684,1
843,684,2
35698,684,1
60574,684,1
989,454,1
684,159,1
159,159,2
984,754,2
754,754,3
754,984,1
836,843,1
843,843,15
28671,843,1
133,964,1
964,964,18
322,1240,1
21,1235,1
1235,1235,1
2723,1235,1
984,984,7
1315,1279,1
1279,1279,22
15817,1279,1
24931,1279,1
1279,1097,2
1097,1097,2
1301,1301,9
322,989,3
3342,989,1
836,989,4
10327,989,1
381,989,2
6,989,1
62867,989,1
684,1386,1
1273,1399,2
1399,1399,3
989,684,3
1367,1306,1
802,2485,1
2485,2485,1
21,2452,1
2452,2452,79
1047,1011,1
2532,1315,3
1315,1315,2
325,325,5
2614,2614,2
2604,381,4
1156,192,1
21,192,1
548,548,6
2711,548,5
684,2433,1
869,906,1
95,95,3
322,95,2
381,95,1
471,1314,1
366,366,2
62,366,1
156,2604,1
2724,2604,1
2604,2604,1
2711,2711,2
381,974,1
172,974,1
924,2653,1
737,1279,1
2802,2614,1
2666,2614,1
471,2614,1
1156,2452,4
1156,2841,1
924,2841,1
375,2854,1
2861,2861,7
2661,2533,2
2854,2838,1
2854,802,1
802,802,2
2792,2792,1
2841,1156,1
1156,1156,14
2949,2949,1
2958,2452,1
1151,816,1
816,816,5
10372,816,1
1241,964,4
1256,964,2
2972,2972,1
1097,1384,1
2979,2979,2
2853,2853,1
21,3030,1
609,3047,2
3047,3047,1
2474,3047,1
375,3070,1
836,3097,1
1241,3097,1
2668,3050,1
3050,3050,2
21,3050,2
471,3128,2
3128,3128,1
1281,2668,2
2668,2668,1
1281,3178,1
1279,3203,1
3203,3203,1
21,3203,1
802,3211,1
1279,3211,1
3215,1279,3
836,2487,1
2487,2487,1
3152,3152,1
3244,3259,1
21,979,7
979,979,8
3279,3279,1
961,1256,1
1279,3284,2
3284,3284,1
92,3263,1
3263,3263,1
3294,92,1
609,97,1
39524,97,1
3294,97,2
3321,1279,1
3044,1279,2
471,3328,1
3328,3328,4
3328,609,2
819,3054,1
0,3361,2
3361,3361,1
1256,1256,5
3360,1256,1
23240,1256,1
3054,819,2
819,819,11
3054,816,1
3409,3390,1
3535,3390,1
2452,3390,3
21,3433,1
3433,3433,3
1279,3433,1
8344,3433,3
0,3433,1
2853,1256,1
1241,3400,1
3400,3400,1
14518,890,1
1241,3445,1
3445,3445,1
3482,3482,1
403,295,1
3506,24,1
1279,3510,1
2969,3513,1
1193,3539,1
21,3550,1
3070,3550,1
2452,3550,1
4697,3550,2
3550,3550,1
3436,3466,1
3466,3466,11
3550,3466,1
3526,3596,1
3540,1154,1
1048,1399,1
3159,1279,1
4668,3159,2
3159,3159,2
21,4668,2
4668,4668,4
2452,3615,1
0,4717,1
3577,609,4
4705,4705,1
471,4705,1
381,381,96
1241,4800,1
4668,21,1
836,4824,2
4824,4824,1
5198,4824,1
26561,3281,1
723,723,4
0,723,1
21,4889,1
4889,4889,1
12473,4889,1
21,4887,1
4887,4887,1
2452,4887,1
471,3106,1
3106,3106,1
4897,4897,2
471,4907,1
21,4929,1
21,4836,2
3466,4836,1
1241,4956,1
847,136,1
136,136,1
989,847,1
847,847,18
2576,2576,25
3466,3436,1
3436,3436,2
21,5004,1
5004,5004,1
4999,5012,1
21,5012,1
5027,5027,2
21,3377,1
3377,3377,1
136,847,1
9646,847,1
847,5086,1
5086,5086,1
836,847,1
1127,97,1
21,NULL,3
0,NULL,86
0,5113,1
847,5043,2
5043,5043,6
2576,1279,1
847,5132,1
587,5132,1
5099,5099,1
4621,4621,13
5247,381,1
21,5273,1
5273,5273,1
15215,5043,1
38520,5043,1
381,4621,1
1131,1131,2
5356,924,2
924,924,206
5316,289,1
5091,3466,1
6387,6391,1
6391,6391,5
2742,2742,2
84,5306,1
8552,5306,1
84,5185,1
5091,5091,24
21,5356,1
6390,2452,1
3024,5041,1
3132,6451,1
471,3504,1
375,5091,1
3466,5091,2
9951,5091,1
7764,5091,1
6506,2452,1
21,6536,1
6536,6536,1
173,6536,1
21,6523,1
86594,2452,1
303,303,29
5246,5246,4
1279,5199,1
80072,5199,1
6644,6644,1
836,6559,2
6559,6559,2
924,5091,2
21,6664,1
381,6685,1
2452,7715,1
21,7715,1
21,7712,1
7712,7712,2
474,2452,1
2452,303,2
6636,6636,1
1399,6636,2
7738,7738,5
1367,6496,2
6496,6496,1
7740,7740,2
102,1367,1
7811,7811,1
1279,4711,1
6560,5143,2
5143,5143,10
58789,5143,1
2452,2723,2
2723,2723,17
5143,1156,1
3466,3583,1
2452,21,2
643,21,1
4621,7867,3
7867,7867,2
227,5143,1
2452,5143,2
45768,5143,1
7873,4621,1
7982,2452,1
3430,964,1
7999,7969,1
7969,7969,9
5224,7809,2
21,8063,1
8063,8063,1
52588,8063,1
8076,2853,1
985,182,4
182,182,7
8088,8088,1
8065,8075,2
8075,8075,3
8110,985,2
985,985,1
1003,8088,1
8088,1003,3
1003,1003,4
108,8214,1
8191,8191,5
964,8191,1
21,8268,1
7720,7720,5
7720,90,1
90,90,3
9123,90,1
8281,8281,1
7720,3152,1
7848,122,1
21,8214,1
3466,5255,1
3466,8127,1
8235,8236,1
8236,8236,1
8127,3466,1
8313,8191,1
2452,8368,1
1367,8368,1
7887,6467,1
2576,8425,1
4897,8425,1
0,102,1
381,8482,1
3466,2750,1
8344,8344,2
84,8462,1
5316,381,1
5316,5316,1
2452,8597,1
1131,4993,4
4993,4993,3
8686,2452,7
1077,8389,1
8597,8462,2
381,8285,1
8285,8285,2
1003,97,1
3466,2723,1
12446,2723,1
587,8800,1
8692,8792,1
7867,1048,1
1048,1048,1
8860,8860,2
7923,587,1
587,587,3
8938,609,1
8938,8938,1
182,8969,1
8969,8969,3
8944,3417,1
3417,3417,1
8951,8953,1
8953,8953,4
587,8953,1
8644,2452,1
3417,9015,1
2452,9015,1
2452,9033,1
9033,2452,4
9052,9052,1
21,9079,1
9079,NULL,1
4947,2452,1
471,9105,1
9097,9114,1
9114,9114,1
3466,9125,2
